0.3,0.2,480,0,203,0,3,0,0
0.2980785280403231,0.2195090322016128,288,0.03125,368,0,3,0,0
0.2923879532511287,0.238268343236509,256,0.0625,213,0,3,0,0
0.2831469612302545,0.2555570233019602,128,0.09375,500,0,3,0,0
0.2707106781186548,0.2707106781186548,224,0.125,281,0,3,0,0
0.2555570233019602,0.2831469612302545,194,0.15625,225,0,3,2,0
0.238268343236509,0.2923879532511287,416,0.1875,245,0,3,2,0
0.2195090322016128,0.2980785280403231,481,0.21875,241,0,3,2,0
0.2,0.3,449,0.25,303,0,3,2,0
0.1804909677983872,0.2980785280403231,226,0.28125,392,0,3,2,0
0.161731656763491,0.2923879532511287,129,0.3125,96,0,3,2,0
0.1444429766980398,0.2831469612302546,417,0.34375,509,0,3,2,0
0.1292893218813453,0.2707106781186548,229,0.375,488,0,3,2,0
0.1168530387697455,0.2555570233019602,385,0.40625,444,0,3,4,0
0.1076120467488713,0.238268343236509,32,0.4375,97,0,3,2,0
0.101921471959677,0.2195090322016129,353,0.46875,41,0,5,1,0
0.1,0.2,482,0.5,453,0,5,1,0
0.101921471959677,0.1804909677983872,418,0.53125,99,0,5,1,0
0.1076120467488713,0.161731656763491,386,0.5625,138,0,5,1,0
0.1168530387697455,0.1444429766980398,291,0.59375,270,0,5,1,0
0.1292893218813452,0.1292893218813453,323,0.625,265,0,5,1,0
0.1444429766980398,0.1168530387697455,292,0.65625,332,0,5,1,0
0.161731656763491,0.1076120467488714,140,0.6875,343,0,5,1,0
0.1804909677983871,0.101921471959677,142,0.71875,103,0,5,1,0
0.2,0.1,450,0.75,144,0,5,1,0
0.2195090322016128,0.101921471959677,42,0.78125,106,0,5,1,0
0.238268343236509,0.1076120467488713,324,0.8125,63,0,3,0,0
0.2555570233019602,0.1168530387697455,165,0.84375,407,0,3,0,0
0.2707106781186547,0.1292893218813452,325,0.875,145,0,3,0,0
0.2831469612302545,0.1444429766980398,201,0.90625,471,0,3,0,0
0.2923879532511287,0.161731656763491,293,0.9375,248,0,3,0,0
0.298078528040323,0.1804909677983871,202,0.96875,146,0,3,0,0
0.1072538988589837,0.2373919874189694,64,0.4390067494630387,14,0,3,2,0
0.1065599604907191,0.2356224510176381,483,0.4420319154070348,422,0,5,1,0
